DATE,SYMBOL,DELIV_QTY,DELIV_PER
20260924,500002,1434,42.15
20260924,500003,41350,52.52
20260924,500008,12775,63.23
20260924,500009,4509,100.0
20260924,500012,20805,81.31
20260924,500014,7533,89.59
20260924,500016,2320,76.92
20260924,500020,22384,63.1
20260924,500023,105,42.0
20260924,500027,630,50.97
20260924,500028,14818,67.17
20260924,500031,3428,62.44
20260924,500032,222651,50.89
20260924,500033,3149,59.66
20260924,500034,200155,41.19
20260924,500038,20974,45.29
20260924,500039,10627,80.86
20260924,500040,20160,41.02
20260924,500041,6,75.0
20260924,500042,581,69.58
20260924,500043,5278,69.04
20260924,500048,4113,50.79
20260924,500049,617254,59.98
20260924,500051,16383,100.0
20260924,500052,26750,43.59
20260924,500058,29988,91.63
20260924,500059,42,100.0
20260924,500060,38826,70.0
20260924,500067,9252,55.23
20260924,500068,3,100.0
20260924,500069,59,81.94
20260924,500074,1624,58.06
20260924,500078,1567,58.21
20260924,500083,9425,81.83
20260924,500084,94426,69.55
20260924,500085,7243,51.33
20260924,500086,230701,62.9
20260924,500087,24589,33.9
20260924,500089,268,92.73
20260924,500092,447,64.22
20260924,500093,40719,48.76
20260924,500096,23937,55.41
20260924,500097,2953,54.75
20260924,500101,23154,49.86
20260924,500103,171766,56.25
20260924,500104,24197,44.02
20260924,500106,1240245,32.03
20260924,500108,17113,53.47
20260924,500109,151612,55.33
20260924,500110,16330,44.71
20260924,500112,316027,33.44
20260924,500113,576226,48.29
20260924,500114,13699,42.51
20260924,500116,553398,61.71
20260924,500117,68505,55.79
20260924,500119,16833,69.43
20260924,500120,99,97.06
20260924,500123,58,57.43
20260924,500124,47846,69.35
20260924,500125,11433,57.08
20260924,500126,90,53.89
20260924,500128,35313,62.76
20260924,500133,89,51.44
20260924,500135,30440,49.81
20260924,500136,1759,82.23
20260924,500142,181,100.0
20260924,500143,1939,100.0
20260924,500144,12774,38.44
20260924,500147,282,70.15
20260924,500148,5102,62.58
20260924,500150,342,50.22
20260924,500151,723,100.0
20260924,500153,21121,100.0
20260924,500159,20,100.0
20260924,500160,26315,82.91
20260924,500163,8622,62.94
20260924,500164,3312,76.05
20260924,500165,10472,60.48
20260924,500166,1918,86.28
20260924,500168,1215,73.77
20260924,500170,2013,50.12
20260924,500171,4174,54.56
20260924,500173,2802,84.25
20260924,500174,59,100.0
20260924,500178,167,100.0
20260924,500179,38144,73.03
20260924,500180,1636239,53.14
20260924,500182,3149,47.73
20260924,500183,290789,100.0
20260924,500184,97953,65.3
20260924,500185,254563,43.59
20260924,500186,28310,61.6
20260924,500187,5648,68.1
20260924,500188,207918,71.64
20260924,500189,152,100.0
20260924,500191,398,100.0
20260924,500192,8868,91.8
20260924,500193,9701,61.23
20260924,500199,3001,48.95
20260924,500201,277147,54.1
20260924,500202,88,100.0
20260924,500206,487,60.72
20260924,500207,96615,43.09
20260924,500209,301404,36.06
20260924,500210,373,58.56
20260924,500213,307,91.1
20260924,500214,4557,48.36
20260924,500215,2008,75.29
20260924,500219,61533,67.94
20260924,500220,559,100.0
20260924,500227,767,71.88
20260924,500228,19164,44.97
20260924,500233,4943,65.37
20260924,500234,90,100.0
20260924,500235,4908,80.83
20260924,500236,38,100.0
20260924,500238,157589,29.78
20260924,500239,1030,32.54
20260924,500240,31139,100.0
20260924,500241,758,47.11
20260924,500243,330,83.12
20260924,500245,15924,68.82
20260924,500246,1135,100.0
20260924,500247,519372,49.56
20260924,500248,20,100.0
20260924,500249,3356,67.76
20260924,500250,4597,94.37
20260924,500251,12539,54.58
20260924,500252,45,66.18
20260924,500253,21333,55.0
20260924,500257,4995,36.94
20260924,500259,2495,100.0
20260924,500260,2115,63.0
20260924,500262,515,100.0
20260924,500264,6820,75.21
20260924,500265,8420,42.64
20260924,500266,276,65.4
20260924,500267,394,100.0
20260924,500268,57807,47.38
20260924,500270,413,73.88
20260924,500271,179495,42.38
20260924,500277,865,98.86
20260924,500279,14040,89.78
20260924,500280,802,68.31
20260924,500282,66,98.51
20260924,500284,2560,88.64
20260924,500285,6078175,45.24
20260924,500288,440792,55.61
20260924,500290,91,78.45
20260924,500292,2725,92.31
20260924,500294,63274,77.09
20260924,500295,130330,50.67
20260924,500296,351,68.42
20260924,500298,322,90.2
20260924,500300,4096,72.33
20260924,500304,1771,49.15
20260924,500306,46262,52.06
20260924,500307,2439,99.31
20260924,500312,132686,51.17
20260924,500313,5938,100.0
20260924,500314,7502,59.08
20260924,500317,227,99.56
20260924,500319,529,96.89
20260924,500322,40,100.0
20260924,500325,701656,48.28
20260924,500327,12489,94.38
20260924,500330,171994,39.02
20260924,500331,42120,78.79
20260924,500333,448,58.11
20260924,500335,2484,78.11
20260924,500336,24311,53.39
20260924,500337,132,100.0
20260924,500338,12013,53.79
20260924,500339,68124,41.93
20260924,500342,172,100.0
20260924,500343,757,81.75
20260924,500346,895,99.44
20260924,500350,2695,68.26
20260924,500354,562,55.81
20260924,500355,26239,70.94
20260924,500356,4290,94.47
20260924,500357,136,100.0
20260924,500360,49560,100.0
20260924,500365,25927,51.51
20260924,500367,4159,19.24
20260924,500368,36497,30.11
20260924,500370,709,99.86
20260924,500371,6140,100.0
20260924,500378,42558,57.49
20260924,500380,6851,73.25
20260924,500387,342,40.28
20260924,500388,213,100.0
20260924,500390,44182,100.0
20260924,500399,407,100.0
20260924,500400,273060,82.83
20260924,500402,4714,69.08
20260924,500403,301469,90.88
20260924,500404,34925,54.5
20260924,500405,11707,67.82
20260924,500407,246,76.88
20260924,500408,9849,64.75
20260924,500410,4231,65.34
20260924,500411,1531,72.84
20260924,500412,17234,60.44
20260924,500413,17257,68.41
20260924,500414,20121,47.44
20260924,500418,173,100.0
20260924,500420,5373,62.52
20260924,500421,42897,100.0
20260924,500422,7835,100.0
20260924,500425,34863,45.12
20260924,500426,38759,92.16
20260924,500429,20,0.5
20260924,500439,15,100.0
20260924,500440,71209,57.0
20260924,500444,4937,55.36
20260924,500449,477306,48.57
20260924,500456,38459,61.84
20260924,500458,3937,97.76
20260924,500459,756,75.52
