ticker,old_status,old_amount,new_status,new_amount,new_pct,filing_type,flags,unit_source,rescaled
ETERNAL,NOT_FOUND,,OK,16004.51,23.74,BSE_PDF,AMBIGUOUS_SCALE:lakh/million,backstop:lakh,True
STYLEBAAZA,NOT_FOUND,,NOT_FOUND,,,,NO_FILING,,False
SUDARSCHEM,NOT_FOUND,,UNPARSABLE,,,,NO_TABLE,,False
JPOLYINVST,NOT_FOUND,,UNPARSABLE,,,,NO_TABLE,,False
MANORAMA,NOT_FOUND,,UNPARSABLE,,,,NO_TABLE,,False
PAYTM,OK,30471.44,OK,30471.44,339.82,BSE_PDF,AMBIGUOUS_SCALE:crore/lakh/million,backstop:crore,False
JSWCEMENT,NOT_FOUND,,NOT_FOUND,,,,NO_FILING,,False
PAGEIND,NOT_FOUND,,UNPARSABLE,,,,NO_TABLE,,False
ANANTRAJ,NOT_FOUND,,OK,101.38,3.97,BSE_PDF,,explicit:lakh,False
HINDPETRO,NOT_FOUND,,OK,68054.72,14.43,BSE_PDF,,explicit:crore,False
OFSS,NOT_FOUND,,OK,3045.19,34.04,BSE_PDF,,explicit:million,False
IPCALAB,NOT_FOUND,,OK,284.22,2.81,BSE_PDF,AMBIGUOUS_SCALE:crore/lakh/million,backstop:crore,False
DLF,NOT_FOUND,,NOT_FOUND,,,,NO_FILING,,False
GMRAIRPORT,NOT_FOUND,,OK,11327.55,72.76,BSE_PDF,AMBIGUOUS_SCALE:crore/lakh/million,backstop:crore,False
MOCAPITAL,NOT_FOUND,,NOT_FOUND,,,,NO_FILING,,False
RPPINFRA,NOT_FOUND,,UNPARSABLE,,,,NO_TABLE,,False
CEMPRO,NOT_FOUND,,NOT_FOUND,,,,NO_FILING,,False
ENDURANCE,NOT_FOUND,,NOT_FOUND,,,,NO_FILING,,False
ICICIPRULI,NOT_FOUND,,OK,2781.88,4.39,BSE_PDF,,explicit:lakh,False
INDUSTOWER,NOT_FOUND,,NOT_FOUND,,,,NO_FILING,,False
TORNTPHARM,NOT_FOUND,,NOT_FOUND,,,,NO_FILING,,False
PHOENIXLTD,NOT_FOUND,,OK,7422.4,163.35,BSE_PDF,AMBIGUOUS_SCALE:lakh/million,backstop:lakh,True
SOFTTECH,NOT_FOUND,,NOT_FOUND,,,,SCALE_IMPOSSIBLE,UNRESOLVED,False
PFIZER,NOT_FOUND,,OK,346.58,13.49,BSE_PDF,AMBIGUOUS_SCALE:crore/lakh/million,backstop:crore,False
EMIL,NOT_FOUND,,UNPARSABLE,,,,NO_TABLE,,False
ANTHEM,NOT_FOUND,,NOT_FOUND,,,,NO_FILING,,False
BAJAJFINSV,NOT_FOUND,,UNPARSABLE,,,,NO_TABLE,,False
HCG,OK,1037.47,OK,2243.37,85.4,BSE_PDF,AMBIGUOUS_SCALE:crore/lakh/million,backstop:crore,False
THERMAX,NOT_FOUND,,OK,563.26,5.2,BSE_PDF,AMBIGUOUS_SCALE:crore/lakh/million,backstop:crore,False
WONDERLA,NOT_FOUND,,UNPARSABLE,,,,NO_TABLE,,False
WINDMACHIN,NOT_FOUND,,NOT_FOUND,,,,NO_FILING,,False
STEELCAS,NOT_FOUND,,NOT_FOUND,,,,NO_FILING,,False
DIVISLAB,NOT_FOUND,,OK,257.23,2.29,BSE_PDF,,explicit:lakh,False
HEROMOTOCO,NOT_FOUND,,UNPARSABLE,,,,NO_TABLE,,False
AVALON,NOT_FOUND,,NOT_FOUND,,,,NO_FILING,,False
CONSUMER,NOT_FOUND,,NOT_FOUND,,,,NO_REVENUE,,False
BIL,NOT_FOUND,,UNPARSABLE,,,,NO_TABLE,,False
PIDILITIND,NOT_FOUND,,NOT_FOUND,,,,NO_FILING,,False
ACESOFT,NOT_FOUND,,NOT_FOUND,,,,NO_FILING,,False
KINETICENG,OK,988.52,OK,20.35,11.77,BSE_PDF,,explicit:lakh,False
HIMTEK,NOT_FOUND,,NOT_FOUND,,,,NO_FILING,,False
TIERRA,NOT_FOUND,,NOT_FOUND,,,,NO_FILING,,False
TLL,NOT_FOUND,,EXEMPT,,,BSE_PDF_EXEMPT,,,False
SHUKRAPHAR,NOT_FOUND,,UNPARSABLE,,,,NO_TABLE,,False
SETL,NOT_FOUND,,NOT_FOUND,,,,NO_FILING,,False
NATFIT,NOT_FOUND,,NOT_FOUND,,,,NO_FILING,,False
ALKEM,NOT_FOUND,,NOT_FOUND,,,,NO_FILING,,False
CHANDRIMA,NOT_FOUND,,NOT_FOUND,,,,NO_FILING,,False
LAURUSLABS,OK,348.13,OK,394.52,5.43,BSE_PDF,,explicit:crore,False
ASIANHOTNR,NOT_FOUND,,UNPARSABLE,,,,NO_TABLE,,False
EMAMILTD,NOT_FOUND,,OK,27985.07,714.82,BSE_PDF,AMBIGUOUS_SCALE:crore/lakh/million,backstop:crore,False
PRARUH,NOT_FOUND,,NOT_FOUND,,,,NO_FILING,,False
STOVEKRAFT,NOT_FOUND,,OK,19.74,2.23,BSE_PDF,AMBIGUOUS_SCALE:crore/lakh/million,backstop:crore,False
SHANKARA,NOT_FOUND,,NOT_FOUND,,,,NO_FILING,,False
MRTX,NOT_FOUND,,NOT_FOUND,,,,NO_FILING,,False
AIRFLOA,NOT_FOUND,,NOT_FOUND,,,,NO_FILING,,False
ORICONENT,NOT_FOUND,,OK,70.19,155.97,BSE_PDF,,explicit:lakh,False
TATSILV,NOT_FOUND,,NOT_FOUND,,,,NO_FILING,,False
APOLLOTYRE,NOT_FOUND,,OK,3789.09,12.93,BSE_PDF,,explicit:million,False
COLPAL,NOT_FOUND,,OK,21784.98,351.14,BSE_PDF,AMBIGUOUS_SCALE:crore/lakh/million,backstop:crore,False
